repository_name,repository_url,has_sbom_artifact,has_signature_artifact,has_attestation_artifact,sbom_ci_tools_detected,latest_release_tag,latest_release_analyzed_at
WasmEdge,https://github.com/WasmEdge/WasmEdge,false,false,false,,0.1.0,2019-11-29T20:19:51Z
youki,https://github.com/youki-dev/youki,false,false,false,,v0.0.1,2021-12-26T10:20:29Z
antrea,https://github.com/antrea-io/antrea,false,false,false,sbom-generator,v0.1.0-rc.2,2019-11-18T19:26:02Z
kube-ovn,https://github.com/kubeovn/kube-ovn,false,false,false,sbom-generator,v0.1.0,2019-03-20T02:51:46Z
kube-vip,https://github.com/kube-vip/kube-vip,false,false,false,sbom-generator,v0.1.5,2020-06-19T14:50:40Z
api,https://github.com/networkservicemesh/api,false,false,false,,v0.5.0,2021-06-17T19:47:26Z
ovn-kubernetes,https://github.com/ovn-kubernetes/ovn-kubernetes,false,false,false,,v0.1.0,2018-01-24T21:32:14Z
spiderpool,https://github.com/spidernet-io/spiderpool,false,false,false,"sbom-generator,signer",v0.0.1,2022-04-27T17:01:33Z
submariner,https://github.com/submariner-io/submariner,false,false,false,,v0.0.1,2019-03-12T06:12:02Z
armada,https://github.com/armadaproject/armada,false,false,false,"goreleaser,sbom-generator",v0.0.1,2019-10-29T14:58:04Z
capsule,https://github.com/projectcapsule/capsule,false,false,false,"signer,sbom-generator,goreleaser",v0.0.1,2020-09-16T18:50:15Z
clusternet,https://github.com/clusternet/clusternet,false,false,false,goreleaser,v0.1.0,2021-05-28T14:40:02Z
clusterpedia,https://github.com/clusterpedia-io/clusterpedia,false,false,false,,v0.1.0,2022-02-15T11:03:57Z
eraser,https://github.com/eraser-dev/eraser,false,false,false,sbom-generator,v0.1.0,2022-03-01T01:18:09Z
fluid,https://github.com/fluid-cloudnative/fluid,false,false,false,,v0.1.0,2020-08-29T14:07:13Z
HAMi,https://github.com/Project-HAMi/HAMi,false,false,false,sbom-generator,hami-2.3,2024-07-25T07:43:23Z
kcp,https://github.com/kcp-dev/kcp,false,false,false,goreleaser,v0.3.0-beta.1,2022-04-01T14:31:47Z
k0s,https://github.com/k0sproject/k0s,false,false,false,signer,v0.3.0-rc2,2020-09-08T12:44:13Z
koordinator,https://github.com/koordinator-sh/koordinator,false,false,false,goreleaser,v0.1.0,2022-04-01T13:05:08Z
kube,https://github.com/kube-rs/kube,false,false,false,,0.58.0,2021-07-05T08:51:31Z
kubefleet,https://github.com/kubefleet-dev/kubefleet,false,false,false,sbom-generator,v0.0.1,2025-04-21T07:00:48Z
kubeslice,https://github.com/kubeslice/kubeslice,false,false,false,sbom-generator,cert-manager-v1.7.0,2022-05-16T17:34:37Z
kubestellar,https://github.com/kubestellar/kubestellar,false,false,false,"sbom-generator,goreleaser",v0.2.1,2023-05-17T17:48:32Z
kured,https://github.com/kubereboot/kured,false,false,false,"sbom-generator,signer",1.0.0,2017-10-24T13:55:19Z
ocm,https://github.com/open-cluster-management-io/ocm,false,false,false,,v0.11.0,2023-07-04T06:22:40Z
OpenFunction,https://github.com/OpenFunction/OpenFunction,false,false,false,,v0.1.0,2021-05-17T07:06:32Z
Serverless-Devs,https://github.com/Serverless-Devs/Serverless-Devs,false,false,false,,1.0.0,2020-10-23T18:19:37Z
k8gb,https://github.com/k8gb-io/k8gb,false,false,false,"goreleaser,sbom-generator,signer",v0.5.1,2020-02-02T11:47:59Z
Xline,https://github.com/xline-kv/Xline,false,false,false,,v0.1.0,2022-12-27T10:02:32Z
connect-go,https://github.com/connectrpc/connect-go,false,false,false,,v0.1.0,2022-06-01T00:31:56Z
bfe,https://github.com/bfenetworks/bfe,false,false,false,,v0.1.0,2019-08-01T13:16:17Z
loxilb,https://github.com/loxilb-io/loxilb,false,false,false,,v0.8.0,2023-01-30T13:17:44Z
metallb,https://github.com/metallb/metallb,false,false,false,signer,v0.1.0,2017-12-04T04:38:07Z
easegress,https://github.com/easegress-io/easegress,false,false,false,goreleaser,v1.0.0,2021-06-01T07:20:09Z
kgateway,https://github.com/kgateway-dev/kgateway,false,false,false,,0.2.26,2018-05-30T19:07:16Z
kuadrant-operator,https://github.com/Kuadrant/kuadrant-operator,false,false,false,,v0.1.0,2022-08-24T09:50:36Z
aeraki,https://github.com/aeraki-mesh/aeraki,false,false,false,,1.0.0,2022-01-12T11:54:47Z
kmesh,https://github.com/kmesh-net/kmesh,false,false,false,,v0.1.0,2023-12-26T03:01:58Z
kuma,https://github.com/kumahq/kuma,false,false,false,"signer,sbom-generator",0.1.0,2019-09-10T14:33:50Z
Sermant,https://github.com/sermant-io/Sermant,false,false,false,,v0.1.0,2022-03-21T12:31:59Z
service-mesh-performance,https://github.com/service-mesh-performance/service-mesh-performance,false,false,false,,v0.1.0,2020-06-23T20:22:33Z
cloudnative-pg,https://github.com/cloudnative-pg/cloudnative-pg,false,true,false,"signature,signer,goreleaser",v1.15.0,2022-04-21T13:49:44Z
openGemini,https://github.com/openGemini/openGemini,false,false,false,goreleaser,v0.1.0,2022-09-27T13:49:58Z
schemahero,https://github.com/schemahero/schemahero,false,false,false,,v0.1.0,2019-05-30T22:27:56Z
drasi-platform,https://github.com/drasi-project/drasi-platform,false,false,false,,0.1.1,2024-08-02T23:14:31Z
pravega,https://github.com/pravega/pravega,false,false,false,,v0.1.0-prerelease,2017-05-04T19:18:53Z
tremor-runtime,https://github.com/tremor-rs/tremor-runtime,false,false,false,,v0.7.0,2020-02-22T19:43:02Z
ytt,https://github.com/carvel-dev/ytt,false,false,false,"signer,goreleaser,sbom-generator",v0.1.0,2019-03-01T00:22:52Z
api,https://github.com/devfile/api,false,false,false,,v2.0.0,2021-01-18T16:54:33Z
devspace,https://github.com/devspace-sh/devspace,false,false,false,,v1.0.2,2018-09-17T15:28:35Z
ko,https://github.com/ko-build/ko,false,false,false,"signer,goreleaser",v0.1,2019-03-21T23:15:48Z
operator,https://github.com/konveyor/operator,false,false,false,,v0.1.0-alpha.1,2023-04-03T18:36:55Z
kudo,https://github.com/kudobuilder/kudo,false,false,false,,v0.2.0,2019-06-07T16:15:15Z
microcks,https://github.com/microcks/microcks,false,false,false,signer,1.9.1,2024-05-22T07:17:39Z
model-spec,https://github.com/modelpack/model-spec,false,false,false,,N/A,N/A
podman-desktop,https://github.com/podman-desktop/podman-desktop,false,false,false,,v0.0.1,2022-03-17T16:35:16Z
porter,https://github.com/getporter/porter,false,false,false,sbom-generator,v0.2.0-ralpha.1+boulevardier,2019-01-23T19:46:50Z
radius,https://github.com/radius-project/radius,false,false,false,,v0.14.0,2022-10-10T23:19:25Z
spec,https://github.com/score-spec/spec,false,false,false,,0.1.0,2024-09-12T07:33:40Z
specification,https://github.com/serverlessworkflow/specification,false,false,false,,v0.5,2020-11-11T19:58:36Z
build,https://github.com/shipwright-io/build,false,false,false,"sbom-generator,signer",v0.1.0,2020-09-10T07:27:47Z
stacker,https://github.com/project-stacker/stacker,false,false,false,,v0.19.1,2022-03-24T00:55:09Z
telepresence,https://github.com/telepresenceio/telepresence,false,false,false,sbom-generator,v2.9.0,2022-11-15T15:16:55Z
vscode-kubernetes-tools,https://github.com/vscode-kubernetes-tools/vscode-kubernetes-tools,false,false,false,,0.1.2,2018-01-11T05:23:15Z
server,https://github.com/xregistry/server,false,false,false,,dev,2025-05-05T11:23:19Z
project,https://github.com/open-gitops/project,false,false,false,,N/A,N/A
pipecd,https://github.com/pipe-cd/pipecd,false,false,false,,v0.0.2,2020-06-12T14:09:13Z
werf,https://github.com/werf/werf,false,false,false,,0.14.3,2017-08-22T19:09:22Z
kube-burner,https://github.com/kube-burner/kube-burner,false,false,false,goreleaser,v0.3,2020-09-03T11:00:11Z
k3s,https://github.com/k3s-io/k3s,false,false,false,sbom-generator,v0.1.0-rc1,2019-01-22T21:20:29Z
kubeclipper,https://github.com/kubeclipper/kubeclipper,false,false,false,,v1.1.0,2022-08-13T06:27:58Z
cozystack,https://github.com/cozystack/cozystack,false,false,false,,v0.0.1,2024-02-08T16:07:18Z
SlimFaas,https://github.com/SlimPlanet/SlimFaas,false,false,false,,0.37.0,2025-07-18T14:59:06Z
chaosblade,https://github.com/chaosblade-io/chaosblade,false,false,false,,v0.0.1,2019-03-27T17:31:03Z
krkn,https://github.com/krkn-chaos/krkn,false,false,false,sbom-generator,v1.0.0,2022-08-23T18:09:10Z
inspektor-gadget,https://github.com/inspektor-gadget/inspektor-gadget,false,false,false,"sbom-generator,signer",v0.1.0-alpha.1,2019-10-12T15:35:08Z
k8sgpt,https://github.com/k8sgpt-ai/k8sgpt,true,false,false,"sbom,sbom-generator,goreleaser",v0.1.0,2023-03-28T10:05:13Z
kepler,https://github.com/sustainable-computing-io/kepler,false,false,false,,v0.2,2022-03-24T19:50:27Z
kuberhealthy,https://github.com/kuberhealthy/kuberhealthy,false,false,false,,0.1.1,2018-07-31T21:03:57Z
logging-operator,https://github.com/kube-logging/logging-operator,false,false,false,"sbom-generator,signer",0.0.5,2018-11-27T14:59:15Z
perses,https://github.com/perses/perses,false,false,false,goreleaser,v0.2.0,2022-03-25T18:38:02Z
pixie,https://github.com/pixie-io/pixie,false,true,false,"signature,sbom-generator",release/vizier/v0.10.21,2022-04-18T21:11:30Z
trickster,https://github.com/trickstercache/trickster,false,false,false,signer,v0.0.9,2018-03-30T00:19:23Z
spin-operator,https://github.com/spinframework/spin-operator,false,false,false,,v0.0.1,2024-03-08T09:52:39Z
container2wasm,https://github.com/container2wasm/container2wasm,false,false,false,,v0.1.0,2023-02-28T08:23:09Z
kaito,https://github.com/kaito-project/kaito,false,false,false,"goreleaser,sbom-generator",v0.0.1,2023-11-02T22:55:22Z
